test_case,graph_name,error_rate,algo,ec,step_j,last_match_i,eta_e,eta_v,eta_v_star
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,166,90,76,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,167,90,77,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,168,90,78,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,169,90,79,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,170,90,80,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,171,90,81,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,172,90,82,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,173,90,83,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,174,90,84,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,175,90,85,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,176,90,86,295.0000,4765.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,177,90,87,297.0000,4767.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,178,90,88,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,179,90,89,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,180,90,90,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,181,90,91,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,182,90,92,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,183,90,93,295.0000,4764.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,184,90,94,310.0000,4786.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,185,90,95,310.0000,4786.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,186,90,96,310.0000,4786.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,187,90,97,309.0000,4290.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,188,90,98,309.0000,4290.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,189,90,99,312.0000,5772.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,190,90,100,311.0000,5771.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,191,90,101,311.0000,5771.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,192,90,102,311.0000,5771.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,193,90,103,320.0000,5780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,194,90,104,320.0000,5780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,195,90,105,320.0000,5780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,196,90,106,320.0000,5780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,197,90,107,320.0000,5780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,198,90,108,417.0000,5930.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,199,90,109,417.0000,5930.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,200,90,110,450.0000,5969.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,91,90,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,92,90,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,93,90,3,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,94,90,4,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,95,90,5,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,96,90,6,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,97,90,7,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,98,90,8,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,99,90,9,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,100,90,10,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,101,90,11,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,102,90,12,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,ec,103,90,13,31.0000,50.0000
